Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
POCO,POCO C75 5G,Enchanted Green,Flipkart,11499,8499,3000,26,4,128,6.88,5160,5,13,4s Gen 2 5G Processor,4.3,83280,4112
MOTOROLA,MOTOROLA g35 5G,Leaf Green,Flipkart,12499,9999,2500,20,4,128,6.72,5000,16,12,T760 Processor,4.2,64998,4764
vivo,vivo T4 Lite,Titanium Gold,Flipkart,13999,9999,4000,28,4,128,6.74,6000,5,50,Dimensity 6300 5G Processor,4.4,7237,216
Motorola,Motorola Edge 50,Forest Blue,Flipkart,25999,18999,7000,26,8,128,6.7,5000,32,108,7s Gen 2 Processor,4.4,129175,8373
Samsung,Samsung Galaxy F16,Bling Black,Flipkart,17499,11499,6000,34,6,128,6.657,5000,13,108,Dimensity 6300 Processor,4.2,4683,309
Samsung,Samsung SM 310E,Black,Flipkart,1999,990,1009,50,4,64,1.9,800,13,50,Dimensity 6300 Processor,3.2,317,27
OPPO,OPPO K13 5G,Prism Black,Flipkart,22999,17999,5000,21,8,128,6.67,7000,16,108,Snapdragon 6 Gen 4 Processor,4.5,24615,1677
Motorola,Motorola Edge 50,Marshmallow Blue,Flipkart,27999,20999,7000,25,12,256,6.7,5000,32,108,7s Gen 2 Processor,4.4,157688,10859
Motorola,Motorola Edge 50,Forest Blue,Flipkart,27999,20999,7000,25,12,256,6.7,5000,32,108,7s Gen 2 Processor,4.4,157688,10859
Samsung,Samsung Galaxy F16,Bling Black,Flipkart,15999,10749,5250,32,4,128,6.657,5000,13,20,Dimensity 6300 Processor,4.2,2787,175
Motorola,Motorola Edge 50,Forest Green,Flipkart,25999,18999,7000,26,8,128,6.7,5000,32,20,7s Gen 2 Processor,4.4,129175,8373
OnePlus,OnePlus Nord CE4,MEGA BLUE,Flipkart,20999,16843,4156,19,8,128,6.67,5500,16,32,A18 Chip 6 Core Processor Processor,4.4,25654,1235
Apple,Apple iPhone 16,Ultramarine,Flipkart,79900,69999,9901,12,16,128,6.1,4300,12,50,A18 Chip 6 Core Processor Processor,4.6,19106,793
POCO,POCO X7 5G,Cosmic Silver,Flipkart,24999,15999,9000,36,8,128,6.67,5500,20,50,Dimensity 7300 Ultra Processor,4.3,13142,1155
Infinix,Infinix Note 50s,Burgundy Red,Flipkart,19999,14999,5000,25,6,128,6.78,5500,13,50,Dimensity 7300 Ultimate Processor,4.4,1276,86
realme,realme P3x 5G,Lunar Silver,Flipkart,16999,12999,4000,23,6,128,6.72,6000,8,32,Dimensity 6400 Processor,4.4,25519,891
IQOO,IQOO Z10X 5G,Ultramarine,Flipkart,17499,13690,3809,21,6,128,6.7,6500,5,50,Dimensity 6400 Processor,4.4,2066,120
OPPO,OPPO K13 5G,Prism Black,Flipkart,22999,17999,5000,21,8,128,6.67,7000,16,12,Snapdragon 6 Gen 4 Processor,4.5,24615,1677
OPPO,OPPO K13 5G,Prism Black,Flipkart,22999,17999,5000,21,8,128,6.67,7000,16,12,Snapdragon 6 Gen 4 Processor,4.5,24615,1677
POCO,POCO M7 5G,Ocean Blue,Flipkart,13999,10299,3700,26,8,128,6.88,5160,8,12,4 Gen 2 5G Processor,4.2,5232,314
Infinix,Infinix Note 50s,Burgundy Red,Flipkart,19999,14999,5000,25,6,128,6.78,5500,13,12,Dimensity 7300 Ultimate Processor,4.4,1276,86
POCO,POCO C75 5G,Silver Stardust,Flipkart,10999,7699,3300,30,4,64,6.88,5160,5,3,4s Gen 2 5G Processor,4.3,83280,4112
Samsung,Samsung Galaxy A35,Awesome Navy,Flipkart,36999,21999,15000,40,8,256,6.6,5000,13,108,Samsung Exynos 1380 Processor,4.3,22174,1486
POCO,POCO M7 5G,Satin Black,Flipkart,13999,10299,3700,26,8,128,6.88,5160,8,50,4 Gen 2 5G Processor,4.2,5232,314
vivo,vivo T4x 5G,Marine Blue,Flipkart,17999,13999,4000,22,6,128,6.72,6500,8,50,Dimensity 7300 5G Processor,4.4,91091,4758
Samsung,Samsung Galaxy F16,Vibing Blue,Flipkart,15999,10749,5250,32,4,128,6.657,5000,13,50,Dimensity 6300 Processor,4.2,2787,175
realme,realme 14x 5G,Crystal Black,Flipkart,16999,14999,2000,11,6,128,6.67,6000,8,20,Dimensity 6300 Processor,4.3,10608,523
Samsung,Samsung Guru1200,Black,Flipkart,1799,797,1002,55,6,64,1.8,800,12,50,Dimensity 6300 Processor,3,1596,137
Infinix,Infinix Note 50x,Enchanted Purple,Flipkart,14999,11499,3500,23,6,128,6.67,5500,8,108,Dimensity 7300 Ultimate Processor,4.3,10347,1032
Motorola,Motorola G85 5G,Cobalt Blue,Flipkart,20999,15999,5000,23,8,128,6.67,5000,32,108,6s Gen 3 Processor,4.4,217987,11163
Samsung,Samsung M05,Mint Green,Flipkart,9999,6646,3353,33,4,64,6.7,5000,12,50,Dimensity 7300 Ultimate Processor,4.3,2731,116
Samsung,Samsung Galaxy M35,Moonlight Blue,Flipkart,24499,15939,8560,34,6,128,6.6,6000,16,50,Dimensity 7300 Ultimate Processor,4.4,24821,1984
Infinix,Infinix Note 50x,Enchanted Purple,Flipkart,14999,11499,3500,23,6,128,6.67,5500,8,108,Dimensity 7300 Ultimate Processor,4.3,10347,1032
Motorola,Motorola Edge 50,Hot Pink,Flipkart,27999,20999,7000,25,12,256,6.7,5000,32,12,7s Gen 2 Processor,4.4,157688,10859
REDMI,REDMI 13 5G,Orchid Pink,Flipkart,17999,12499,5500,30,6,128,6.79,5030,13,108,4 Gen 2 AE Processor,4.2,42234,2172
Tecno,Tecno Pova 6,Azure Sky,Flipkart,15999,9499,6500,40,6,128,6.67,5000,8,12,Dimensity 6300 5G Processor,4.3,3544,202
Tecno,Tecno Pova 6,Azure Sky,Flipkart,15999,9499,6500,40,6,128,6.67,5000,8,50,Dimensity 6300 5G Processor,4.3,3544,202
MOTOROLA,MOTOROLA Edge 60,PANTONE Mykonos Blue,Flipkart,25999,22999,3000,11,8,256,6.67,5500,32,50,Dimensity 7400 Processor,4.5,42821,2423
vivo,vivo T4 5G,Phantom Grey,Flipkart,25999,21999,4000,15,8,128,6.77,7300,32,32,Snapdragon 7s Gen 3 5G Processor,4.5,40354,1979
POCO,POCO M7 Pro,Lavender Frost,Flipkart,18999,12999,6000,31,6,128,6.67,5110,20,20,Dimensity 7025 Ultra Processor,4.3,17015,1472
REDMI,REDMI A5,Just Black,Flipkart,8999,6499,2500,27,3,64,6.88,5200,8,50,T7250 Processor,4.3,2309,116
Samsung,Samsung Galaxy A35,Awesome Iceblue,Flipkart,33999,19999,14000,41,8,128,6.6,5000,13,20,Samsung Exynos 1380 Processor,4.3,22174,1486
realme,realme P3 5G,Space Silver,Flipkart,19999,15999,4000,20,6,128,6.67,6000,16,50,6 Gen 4 Processor,4.4,19673,1422
Infinix,Infinix Note 50s,Marine Drift,Flipkart,19999,14999,5000,25,6,128,6.78,5500,13,50,Dimensity 7300 Ultimate Processor,4.4,1276,86
IQOO,IQOO Z10X 5G,Ultramarine,Flipkart,17499,13690,3809,21,6,128,6.7,6500,3,2,Dimensity 7300 Ultimate Processor,4.4,2066,120
OPPO,OPPO K13x 5G,Midnight Violet,Flipkart,15999,11999,4000,25,4,128,6.67,6000,8,50,Dimensity 6300 Processor,4.5,1949,310
realme,realme GT 6,Razor Green,Flipkart,43999,27999,16000,36,8,256,6.78,5500,32,50,8s Gen 3 Mobile Platform Processor,4.5,3582,370
realme,realme P2 Pro,Parrot Green,Flipkart,25999,16999,9000,34,8,128,6.7,5200,32,50,7s Gen2 Processor,4.4,17510,1251
realme,realme C61,Marble Black,Flipkart,8999,7699,1300,14,4,64,6.745,5000,5,50,T612 Processor,4.4,9818,322
Nothing,Nothing Phone,3a Grey,Flipkart,32999,28999,4000,12,8,128,6.6,5000,50,20,7s Gen3 Processor,4.5,5898,545
CMF,CMF by Nothing,Black,Flipkart,22999,18999,4000,17,8,128,6.77,5000,16,50,Dimensity 7300 Pro 5G Processor,4.4,15881,1311
realme,realme P2 Pro,Parrot Green,Flipkart,25999,16999,9000,34,8,128,6.7,5200,32,50,7s Gen2 Processor,4.4,17510,1251
vivo,vivo Y19e,Titanium Silver,Flipkart,11999,7999,4000,33,4,64,6.74,5500,5,50,T7225 Processor,4.3,1565,56
Infinix,Infinix Note 50x,Enchanted Purple,Flipkart,14999,11499,3500,23,6,128,6.67,5500,8,32,Dimensity 7300 Ultimate Processor,4.3,10347,1032
realme,realme C61,Marble Black,Flipkart,8999,7699,1300,14,4,64,6.745,5000,5,50,T612 Processor,4.4,9818,322
realme,realme P3 5G,Space Silver,Flipkart,19999,15999,4000,20,6,128,6.67,6000,16,108,6 Gen 4 Processor,4.4,19673,1422
IQOO,IQOO Z10 Lite,Cyber Green,Flipkart,13999,10310,3689,26,4,128,6.74,6000,16,50,Unisoc Processor,4.2,91,5
realme,realme P3 Pro,Saturn Brown,Flipkart,28999,19999,9000,31,8,128,6.83,6000,16,108,7s Gen 3 Mobile Platform Processor,4.4,6148,536
