Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
oneplus,nord 4,mystique white,amazon,32999,26999,6000,18,8,256,6.6,5000,16,50,dimensity 6020,4.4,5250,860
redmi,note 14,midnight blue,amazon,24999,19999,5000,20,4,128,6.7,5000,16,50,snapdragon 7s gen 3,4.1,3200,490
oppo,a5x 5g,awesome mint,amazon,16999,12999,4000,24,8,128,6.7,5000,16,50,snapdragon 7s gen 3,4.2,3950,610
samsung,galaxy a26,racing grey,amazon,27999,22999,5000,18,8,256,6.6,5000,13,50,snapdragon 7 gen 1,4.2,3800,580
infinix,note 40,titanium gold,amazon,24999,15999,9000,36,8,128,6.5,5000,8,50,helio g85,4.3,4200,670
vivo,y29 5g,titan black,amazon,21999,16998,5001,23,8,128,6.7,5000,12,48,a18,4.5,5850,940
redmi,note 14,spectre blue,amazon,34999,27999,7000,20,8,256,6.67,5000,16,64,dimensity 900,4.5,5950,960
redmi,note 14,awesome black,amazon,36999,29999,7000,19,8,128,6.78,5000,32,50,dimensity 9300,4.3,4800,770
samsung,galaxy a36,metaverse green,amazon,35999,30999,5000,14,4,128,6.6,5000,8,50,exynos 1330,4.1,3400,520
vivo,y22,ultramarine,amazon,18999,9999,9000,47,4,512,6.8,4500,32,108,dimensity 7020,4.6,6700,1100
iphone,iphone 16 512,twilight gold,amazon,109900,99900,10000,9,8,128,6.6,5000,16,64,dimensity 7050,4.2,4200,650
vivo,y100a 5g,cosmos black,amazon,29999,15499,14500,48,16,512,6.88,5000,8,50,snapdragon 4s gen 2,4.5,5900,970
vivo,x200 5g,gray,amazon,80999,71999,9000,11,4,128,6.88,5000,8,50,snapdragon 4 gen 2,4.1,3750,600
samsung,galaxy a06,titan gold,amazon,15499,11499,4000,26,8,256,6.6,5000,13,50,snapdragon 7 gen 1,4.2,3950,630
infinix,note 40,glacier blue,amazon,24999,15999,9000,36,8,128,6.79,5000,16,108,snapdragon 4 gen 2 ae,4.2,4050,640
oppo,f29 5g,starry black,amazon,28999,23998,5001,17,4,128,6.55,5000,32,50,snapdragon 8s gen 3,4.2,4200,650
redmi,a4 5g,starlight blue,amazon,11999,8798,3201,27,4,64,6.7,5160,32,64,dimensity 7050,4.1,3850,620
redmi,14c 5g,orange haze,amazon,12999,9498,3501,27,8,256,6.6,5000,16,64,dimensity 7050,4.4,6250,980
samsung,galaxy m36,hawaiian blue,amazon,27499,21999,5500,20,8,128,6.7,5000,16,50,dimensity 8100 max,4.3,5050,820
redmi,13 5g,glacier blue,amazon,19999,11699,8300,42,8,128,6.6,5000,16,50,dimensity 7025 ultra,4.2,4050,640
oppo,f29 5g,cruise blue,amazon,28999,23998,5001,17,8,256,6.6,5000,13,50,snapdragon 7 gen 1,4.4,5400,870
xiaomi,xiaomi 14,sapphire blue,amazon,54999,29999,25000,45,8,128,6.7,5000,16,64,snapdragon 7s gen 2,4.3,4350,690
vivo,v50e 5g,granite black,amazon,33999,28999,5000,15,8,128,6.7,5000,16,50,snapdragon 7s gen 3,4.3,4500,710
oppo,f29 pro,sierra black,amazon,32999,25999,7000,21,8,128,6.88,5000,8,50,snapdragon 4s gen 2,4.4,5100,820
oneplus,10r 5g,mystique white,amazon,38999,28999,10000,26,8,128,6.6,5000,16,50,dimensity 7025 ultra,4.3,5100,830
redmi,note 14,awesome black,amazon,22999,17999,5000,22,8,256,6.7,5000,16,64,dimensity 7025,4.2,3950,610
samsung,galaxy a26,glacier green,amazon,30999,25999,5000,16,8,128,6.5,5000,8,50,helio g85,4.2,3800,610
redmi,note 14,starry black,amazon,36999,29999,7000,19,4,64,6.6,5000,12,50,snapdragon 8 elite,4.1,3900,620
redmi,note 14,artic white,amazon,22999,17999,5000,22,6,128,6.6,5000,13,50,snapdragon 7 gen 1,4.2,3600,570
lava,blaze duo,majestic green,amazon,18999,16999,2000,11,4,64,6.7,5000,16,50,dimensity 6300,4,3200,510
vivo,y19e,charcoal,amazon,11999,7999,4000,33,6,64,6.6,5000,16,50,dimensity 7025 ultra,4.1,2850,460
nokia,106 single,mint,amazon,1699,1099,600,35,12,256,6.88,4000,8,50,snapdragon 4 gen 2,4.6,6800,1100
samsung,galaxy s25,blue,amazon,80999,74999,6000,7,4,64,6.6,4500,13,50,snapdragon 7 gen 1,4,2950,470
jiobharat,jiobharat v4 4g,awesome black,amazon,1999,799,1200,60,8,256,6.79,5000,16,108,snapdragon 4 gen 2 ae,4.3,4900,780
samsung,galaxy a36,shadow black,amazon,38999,33999,5000,13,6,128,6.67,5000,8,50,helio g85,4.1,3450,560
itel,itel a95 5g,ivy green,amazon,13999,10199,3800,27,8,128,6.7,5000,12,48,a18 pro,4.3,5080,825
redmi,note 14,starlight blue,amazon,22999,17999,5000,22,4,64,6.6,5160,13,50,snapdragon 7 gen 1,4.1,3850,610
redmi,14c 5g,serene green,amazon,12999,9498,3501,27,6,128,6.7,5000,16,50,dimensity 7300,4.4,6300,985
samsung,galaxy m36,hawaiian blue,amazon,22999,17499,5500,24,8,128,6.73,5000,32,50,snapdragon 8 elite,4.3,5100,835
redmi,13 5g,marble black,amazon,19999,11699,8300,42,4,128,6.7,5000,16,64,dimensity 7025,4,3250,520
iphone,iphone 16 pro,awesome black,amazon,119900,111900,8000,7,8,256,6.6,5000,8,50,dimensity 6300,4.3,4000,650
samsung,galaxy a26,titanium,amazon,30999,25999,5000,16,8,128,6.7,6500,16,50,snapdragon 7s gen 3,4.4,4700,770
iqoo,z10x 5g,white,amazon,18999,14998,4001,21,12,512,6.7,5000,16,50,snapdragon 7s gen 3,4.6,6300,1050
lava,blaze duo,titanium grey,amazon,18999,16999,2000,11,4,64,6.7,5000,16,108,dimensity 6300,4.1,3050,495
tecno,spark go,glass gold,amazon,8999,6998,2001,22,6,128,6.6,5000,13,50,snapdragon 7 gen 1,4.2,3480,540
lava,blaze 3,titan black,amazon,12999,10999,2000,15,8,128,6.7,5000,16,64,dimensity 6400,4.5,5850,950
redmi,note 14,spectre blue,amazon,34999,27999,7000,20,8,256,6.7,5000,32,50,snapdragon 7s gen 2,4.5,6000,975
redmi,note 14,scuba blue,amazon,36999,29999,7000,19,6,64,6.7,5000,16,64,snapdragon 7s gen 2,4,2850,460
nokia,3210 4g,aurora cloud,amazon,5299,3599,1700,32,6,128,2.4,5000,16,50,feature phone,4.2,3480,550
tecno,pova 6,awesome black,amazon,15999,9999,6000,38,8,256,6.7,5000,16,50,dimensity 6300,4.3,4800,770
samsung,galaxy a36,deep ocean,amazon,38999,33999,5000,13,8,128,6.88,6000,8,50,snapdragon 4s gen 2,4.3,4350,710
realme,narzo 80x,black,amazon,16999,13998,3001,18,8,128,6.88,5000,8,50,snapdragon 4 gen 2,4.4,4750,780
nothing,phone,glacier green,amazon,27999,23272,4727,17,8,256,6.6,5000,13,50,snapdragon 7 gen 1,4.2,3900,620
poco,x7 5g,blue,amazon,27999,18999,9000,32,8,128,6.79,5000,16,108,snapdragon 4 gen 2 ae,4,2900,465
jiobharat,jiobharat v4 4g,titanium blue,amazon,1999,799,1200,60,8,256,6.7,6000,50,50,dimensity 7350 pro,4.3,4250,690
iqoo,z10 lite,starry black,amazon,16999,12998,4001,24,4,128,6.6,5000,8,13,unisoc t606,4.1,3870,610
redmi,a4 5g,starlight blue,amazon,11999,8798,3201,27,4,64,6.6,5160,16,50,dimensity 7025 ultra,4.1,3800,605
redmi,14c 5g,serene green,amazon,12999,9498,3501,27,6,128,6.88,5000,8,50,snapdragon 4 gen 2,4.4,6150,960
samsung,galaxy m36,hawaiian blue,amazon,22999,17499,5500,24,8,128,6.6,5000,8,50,dimensity 6100,4.3,5050,825
redmi,13 5g,white,amazon,19999,11699,8300,42,4,64,6.7,5000,16,50,snapdragon 7s gen 3,4.5,6400,1020
samsung,galaxy m36,grey,amazon,1699,899,800,47,8,256,6.7,5000,16,50,snapdragon 7s gen 3,4.5,5700,910
infinix,smart 9,phantom purple,amazon,8999,6699,2300,26,8,256,6.6,5000,16,50,exynos 1380,4.4,5250,850
redmi,note 14,black,amazon,24999,19999,5000,20,4,64,6.6,5000,16,50,dimensity 7025 ultra,4.2,3150,480
redmi,14c 5g,aurora green,amazon,14999,11498,3501,23,8,128,6.6,5000,13,50,dimensity 6300,4.3,4350,690
oppo,a5 5g,black,amazon,20999,16998,4001,19,8,128,6.7,5000,16,64,snapdragon 7s gen 2,4.1,2700,420
elfora,note 14,titan black,amazon,999,267,732,73,8,128,6.88,5000,8,50,snapdragon 4s gen 2,4.5,6100,980
redmi,note 14,spectre blue,amazon,34999,27999,7000,20,8,256,6.88,5000,8,50,snapdragon 4 gen 2,4.5,6250,1000
redmi,note 14,black,amazon,36999,29999,7000,19,8,128,6.6,5000,13,50,snapdragon 7 gen 1,4.3,4500,735
cmf,phone 1,thunder grey,amazon,21999,17999,4000,18,6,128,6.79,6000,16,108,snapdragon 4 gen 2 ae,4.4,4950,810
samsung,galaxy m35,starry black,amazon,24499,14999,9500,39,4,64,6.6,5000,13,50,snapdragon 7 gen 1,4.2,3200,500
alcatel,note 14,ivy green,amazon,3410,1749,1661,49,6,128,6.7,5000,16,64,dimensity 7025,4.4,5050,815
redmi,note 14,black,amazon,21999,16999,5000,23,4,64,6.78,5000,32,50,dimensity 9300,4.2,2800,440
nokia,105,blazing black,amazon,1399,1149,250,18,6,128,6.8,5000,16,108,dimensity 6300 (d6300),4.2,3900,650
samsung,galaxy m06,glacier green,amazon,15499,10049,5450,35,8,128,6.6,5000,13,50,snapdragon 7 gen 1,4.2,3800,620
poco,x7 5g,starry black,amazon,24999,18999,6000,24,4,128,6.7,5000,16,50,dimensity 6300 (d6300),4.1,3600,570
redmi,a4 5g,starlight blue,amazon,11999,8798,3201,27,4,64,6.7,5160,16,64,snapdragon 7s gen 2,4.1,3550,560
redmi,14c 5g,serene green,amazon,12999,9498,3501,27,6,128,6.7,5000,16,50,snapdragon 7s gen 3,4.4,6050,945
samsung,galaxy m36,hawaiian blue,amazon,22999,17499,5500,24,8,128,6.7,5000,16,50,snapdragon 7s gen 3,4.3,4980,800
samsung,galaxy a26,arctic white,amazon,30999,25999,5000,16,6,128,6.6,5000,13,50,snapdragon 7 gen 1,4.2,2650,410
lava,blaze duo,cosmos black,amazon,18999,16999,2000,11,12,256,6.8,5000,16,108,dimensity 6300 (d6300),4.5,4800,780
vivo,x200 5g,scuba blue,amazon,74999,65999,9000,12,4,64,6.7,5000,16,50,dimensity 6300,4.1,2900,460
nokia,3210 4g,aurora cloud,amazon,5299,3599,1700,32,6,128,6.7,5000,16,50,dimensity 7300,4.2,3200,515
tecno,pova 6,awesome black,amazon,15999,9999,6000,38,8,256,6.7,5000,16,50,snapdragon 6 gen 1,4.4,6050,945
samsung,galaxy a36,calx titanium,amazon,38999,33999,5000,13,6,128,6.8,5000,32,108,dimensity 8300,4,2450,390
itel,itel a95 5g,glacier green,amazon,13999,10199,3800,27,8,256,6.9,5000,12,48,a18,4.2,3950,650
poco,x7 5g,titan black,amazon,27999,18999,9000,32,8,128,6.88,5000,8,50,snapdragon 4s gen 2,4.5,6200,995
redmi,note 14,spectre blue,amazon,34999,27999,7000,20,8,256,6.88,5000,8,50,snapdragon 4 gen 2,4.5,6300,1015
redmi,note 14,blue,amazon,36999,29999,7000,19,6,128,6.6,5000,13,50,snapdragon 7 gen 1,4,3000,470
jiobharat,jiobharat v4 4g,awesome mint,amazon,1999,799,1200,60,8,256,6.79,5000,16,108,snapdragon 4 gen 2 ae,4.3,4750,770
samsung,galaxy a26,azure sky,amazon,30999,25999,5000,16,6,128,6.7,5000,16,50,dimensity 8100 max,4.2,3150,500
tecno,pova 6,titanium blue,amazon,15999,9999,6000,38,8,256,6.6,6000,12,50,snapdragon 8 elite,4.3,3400,540
iqoo,z10 lite,titanium,amazon,16999,12998,4001,24,8,256,6.7,6500,16,50,snapdragon 7s gen 3,4.3,3600,575
